#mm10.knownGene.name	mm10.knownGene.chrom	mm10.knownGene.strand	mm10.knownGene.txStart	mm10.knownGene.txEnd	mm10.kgXref.mRNA	mm10.kgXref.geneSymbol
uc007ahw.2	chr1	+	11414104	11601821	NM_001160370	A830018L16Rik
uc007ahx.2	chr1	+	11414104	11975902	NM_177173	A830018L16Rik
uc011wij.1	chr1	+	11414104	11975902	NM_001160369	A830018L16Rik
uc011wik.1	chr1	+	11414104	11975902	BC145023	A830018L16Rik
uc007ahz.1	chr1	+	11596150	11933740	AK081622	A830018L16Rik
uc029qmx.1	chr1	+	12667562	12673090	NR_045297	Gm17644
uc007aia.2	chr1	+	12692429	12860372	NM_001198565	Sulf1
uc007aib.2	chr1	+	12692429	12860372	NM_001198566	Sulf1
uc007aic.1	chr1	+	12718544	12822916	AK037389	Sulf1
uc007aid.1	chr1	+	12718544	12860372	NM_172294	Sulf1
uc007aif.1	chr1	-	12866549	12991135	NM_172841	Slco5a1
uc007aik.1	chr1	-	13113427	13127163	NM_001081209	Prdm14
uc007aim.2	chr1	-	13139104	13374083	NM_008678	Ncoa2
uc007aio.1	chr1	-	13164500	13374083	AK052117	Ncoa2
uc007ait.2	chr1	-	13564692	13589910	NM_028173	Tram1
uc007aiu.2	chr1	-	13625899	13660509	NM_145381	Lactb2
uc007aiv.1	chr1	+	13668770	13701723	NM_001011873	Xkr9
uc011wil.1	chr1	-	13785684	13786929	NR_004447	Gm5523
uc007aix.1	chr1	-	14168957	14310199	NM_010164	Eya1
uc007aiy.1	chr1	-	14168957	14310199	BC066860	Eya1
uc007aja.2	chr1	-	14753345	14755966	NM_010827	Msc
uc007ajc.1	chr1	-	14872647	14918862	NM_177781	Trpa1
uc033fid.1	chr1	-	14872647	14918862	KF460461	Trpa1
uc007aje.1	chr1	+	15312451	15714214	NM_001098528	Kcnb2
uc007ajf.2	chr1	+	15805645	15822013	AK021235	Terf1
uc007ajg.2	chr1	+	15805645	15822103	AK036615	Terf1
uc007ajh.2	chr1	+	15805645	15844052	NM_009352	Terf1
uc007ajj.1	chr1	-	15853861	15892722	NM_001033288	Sbspon
uc029qmy.2	chr1	-	16065978	16093325	NM_001243238	4930444P10Rik
uc007ajl.3	chr1	-	16101295	16104433	NM_011291	Rpl7
uc007ajm.1	chr1	+	16105881	16132550	NM_133832	Rdh10
uc007ajn.2	chr1	-	16228809	16519302	NM_025303	Stau2
uc007ajo.2	chr1	-	16228809	16519302	NM_001111272	Stau2
uc007ajq.2	chr1	-	16344197	16519302	BC025118	Stau2
uc007ajt.2	chr1	-	16568673	16619338	NM_025773	Ube2w
uc007aju.2	chr1	-	16584157	16619338	AK042870	Ube2w
uc007ajv.2	chr1	-	16641724	16656865	NM_026456	Tceb1
uc007ajw.2	chr1	-	16641724	16657119	BC028545	Tceb1
uc029qna.1	chr1	+	16657551	16662278	NR_037998	D030040B21Rik
uc007ajx.1	chr1	+	16665190	16678275	NM_026392	Tmem70
uc007ajy.1	chr1	+	16665190	16678275	NM_027415	Tmem70
uc007ajz.2	chr1	+	16688455	16709605	NM_016923	Ly96
uc011wim.1	chr1	+	16688455	16709605	NM_001159711	Ly96
uc007aka.2	chr1	-	16994939	17097889	NM_020604	Jph1
uc007akc.2	chr1	+	17145372	17164270	NM_010267	Gdap1
uc007ake.2	chr1	+	17601900	17630939	NM_053191	Pi15
uc007akg.1	chr1	+	17727051	17766207	AK132405	Crispld1
uc007akh.1	chr1	+	17727416	17766207	NM_031402	Crispld1
uc007aki.1	chr1	-	18115190	18137052	NM_030033	Crisp4
uc007akj.1	chr1	-	18115190	18145902	DQ200908	Crisp4
uc007akk.1	chr1	-	18115190	18145902	AK020340	Crisp4
uc007akl.1	chr1	-	18210052	18223564	NR_002879	Defb44-ps
uc007akm.1	chr1	-	18236472	18237443	NM_001039123	Defb18
uc007akn.2	chr1	-	18250977	18265138	NM_183124	Defb41
uc007ako.1	chr1	-	18260523	18265138	NM_001040027	Gm15386
uc007akp.1	chr1	+	19103021	19166332	NM_153154	Tfap2d
uc007akr.2	chr1	+	19208913	19238845	NM_009334	Tfap2b
uc007aks.1	chr1	+	19212053	19214442	AK035827	Tfap2b
uc007akt.2	chr1	+	19212053	19238845	NM_001025305	Tfap2b
uc007aku.2	chr1	+	19213926	19238845	AK078046	Tfap2b
uc007akv.1	chr1	-	20057778	20618057	NM_153179	Pkhd1
uc011win.1	chr1	+	20679009	20682887	NR_029902	Mir133b
uc007aky.1	chr1	+	20730904	20734496	NM_010552	Il17a
uc007akz.2	chr1	-	20777145	20779554	BC145977	Il17f
uc007ala.2	chr1	-	20777145	20784270	NM_145856	Il17f
uc007alc.1	chr1	-	20803013	20820213	NM_008563	Mcm3
uc029qng.1	chr1	-	20888649	20890473	NR_040492	6720483E21Rik
uc007ald.1	chr1	+	20890621	20938756	NM_028829	Paqr8
uc007ale.1	chr1	+	20917839	20938756	AK029723	Paqr8
uc033fig.1	chr1	+	20934623	20935688	CCDS14844	Paqr8
uc007alf.2	chr1	+	20951625	20990841	NM_027974	Efhc1
uc007alg.2	chr1	-	21001396	21079225	NM_177409	Tram2
uc007alj.2	chr1	+	21218574	21230167	NM_029398	Tmem14a
uc007alk.2	chr1	+	21240584	21265575	NM_001077353	Gsta3
uc007all.2	chr1	+	21240584	21265575	NM_010356	Gsta3
uc007alm.1	chr1	-	21285245	21298312	NR_002858	Gm4956
uc007aln.1	chr1	+	21349676	21352199	NM_183322	Khdc1a
uc007alo.1	chr1	+	21368330	21369743	NM_001033904	Khdc1c
uc007alp.2	chr1	+	21383555	21386384	NM_001113187	Khdc1b
uc011wio.2	chr1	-	21398398	21962650	NM_001160139	Kcnq5
uc007alq.3	chr1	-	21398398	21962650	NM_023872	Kcnq5
uc029qni.1	chr1	-	22288421	22432843	NM_053270	Rims1
uc029qnj.1	chr1	-	22288421	22432843	NM_183018	Rims1
uc029qnk.1	chr1	-	22288421	22432843	NM_001012623	Rims1
uc029qnl.1	chr1	-	22290059	22432843	AK134597	Rims1
uc029qnm.1	chr1	-	22468190	22805724	NM_001012625	Rims1
uc007alz.1	chr1	-	23100473	23102253	NM_025746	4933415F23Rik
uc011wip.1	chr1	+	23272268	23272339	NR_029533	Mir30a
uc007ama.2	chr1	+	23291700	23291784	NR_029717	Mir30c-2
uc007amb.1	chr1	-	23366423	23383175	NM_001081079	Ogfrl1
uc007amd.1	chr1	+	23761925	23815740	AK048146	B3gat2
uc007ame.1	chr1	+	23761925	23847858	NM_172124	B3gat2
uc007amh.2	chr1	-	23845624	23922381	NM_028534	Smap1
uc007amj.2	chr1	-	23995938	24005640	NM_026503	Sdhaf4
uc007amk.2	chr1	-	24010757	24030564	AK034175	Fam135a
uc007aml.2	chr1	-	24010757	24100341	NM_026604	Fam135a
uc007amo.2	chr1	+	24177609	24252738	NM_007740	Col9a1
uc007amq.1	chr1	-	24257682	24587437	NM_007733	Col19a1
uc007amr.1	chr1	-	24279769	24587437	AK149136	Col19a1
uc007amt.1	chr1	+	24678543	24766301	NM_026719	Lmbrd1
uc007amw.2	chr1	-	25067475	25826775	BC079670	Adgrb3
uc011wis.1	chr1	-	25067475	25829707	NM_175642	Adgrb3
uc007amy.1	chr1	-	25091453	25229100	AK044160	Adgrb3
uc029qnn.1	chr1	-	25276403	25277954	NM_001204913	Gm20172
uc007amz.2	chr1	-	26681800	26687460	NM_001033764	4931408C20Rik
uc007anb.1	chr1	-	28776121	28780252	NM_001013750	Gm597
uc007ane.1	chr1	-	30802341	30863256	NM_001081080	Phf3
uc007anh.1	chr1	-	30940302	30949755	NR_002688	Ptp4a1
uc007ani.1	chr1	-	30940302	30949755	BC055039	Ptp4a1
uc007anj.2	chr1	-	31141077	31222656	NR_033445	4931428L18Rik
uc007ank.1	chr1	+	31176434	31204725	NM_153601	Lgsn
uc007anm.1	chr1	+	31222838	31224287	NM_029062	Pih1d3
uc011wiu.1	chr1	+	31264846	31268061	NR_015347	Gm4850
uc007ano.1	chr1	+	32172805	32338341	AK051807	Khdrbs2
uc007anp.1	chr1	+	32172805	32657738	NM_133235	Khdrbs2
uc011wiv.1	chr1	-	32519562	32520999	NM_001199956	Gm9839
uc011wiw.1	chr1	-	32543545	32547293	NM_001164286	Gm5415
uc007anq.2	chr1	-	33453807	33669794	NM_008922	Prim2
uc007anr.1	chr1	-	33478941	33622142	AK166687	Prim2
uc007ant.4	chr1	+	33669823	33670712	NR_033199	1700001G17Rik
uc007anu.1	chr1	+	33719895	33726891	AK163909	Rab23
uc007anv.1	chr1	+	33719895	33735354	AK045454	Rab23
uc007anw.2	chr1	+	33719895	33742564	NM_008999	Rab23
uc011wix.1	chr1	+	33720418	33742564	NM_001159729	Rab23
uc007any.1	chr1	-	33745483	33757750	NM_145392	Bag2
uc007anz.2	chr1	-	33761540	33814595	NM_133817	Zfp451
uc011wiy.1	chr1	-	33835898	33838914	NM_001161816	Gm15455
uc007aoc.2	chr1	-	33852051	33907767	NM_177235	Bend6
uc007aoe.1	chr1	-	33863170	33883842	AK045534	Bend6
uc007aoi.2	chr1	+	34011824	34308662	NM_134448	Dst
uc007aoj.2	chr1	+	34011824	34308662	NM_133833	Dst
uc029qns.1	chr1	-	34433120	34433199	NR_039562	Mir5103
uc011wja.1	chr1	-	34436669	34439672	NM_027159	Ccdc115
uc007aor.2	chr1	+	34439828	34445747	NM_178601	Imp4
uc007aos.1	chr1	+	34459745	34473779	NM_011206	Ptpn18
uc007aov.1	chr1	+	34498429	34503062	NM_009355	Prss39
uc007aow.1	chr1	+	34535647	34544311	NM_007685	Cfc1
uc007aox.2	chr1	-	34552330	34560943	NM_009356	Prss40
uc011wjc.1	chr1	+	34579692	34590944	NM_213727	Amer3
uc033fil.1	chr1	+	34586681	34589024	CCDS14871	Amer3
uc011wjd.1	chr1	-	34633534	34636210	NR_033627	AA619741
uc007api.1	chr1	+	34801721	34812754	NM_183019	Arhgef4
uc011wje.1	chr1	-	34813217	34843050	NM_001160235	Fam168b
uc011wjf.1	chr1	-	34813217	34843050	NM_001160236	Fam168b
uc007apj.2	chr1	-	34813217	34843050	NM_174997	Fam168b
uc007apk.2	chr1	+	34849958	34871557	NM_175421	Plekhb2
uc007apl.1	chr1	+	34849958	34879585	NM_145516	Plekhb2
uc007apn.2	chr1	+	36068399	36106446	NM_015818	Hs6st1
uc007app.2	chr1	-	36140027	36244302	NM_198899	Uggt1
uc007aps.1	chr1	-	36264601	36273425	NM_153408	Neurl3
uc007apt.1	chr1	-	36268956	36273425	AK040949	Neurl3
uc007apv.2	chr1	+	36307732	36324029	NM_001172205	Arid5a
uc011wjg.1	chr1	+	36307732	36324029	NM_001172206	Arid5a
uc007apx.2	chr1	+	36307732	36324029	NR_033310	Arid5a
uc007apu.2	chr1	+	36307732	36324029	NM_145996	Arid5a
uc007aqa.1	chr1	-	36335729	36369181	NM_172652	Kansl3
uc007aqc.1	chr1	-	36423185	36441579	AK041656	Lman2l
uc007aqd.2	chr1	-	36423185	36445271	NM_001013374	Lman2l
uc007aqg.2	chr1	+	36471596	36508776	NM_033570	Cnnm4
uc007aqi.1	chr1	+	36511875	36528237	NM_001039551	Cnnm3
uc007aqj.1	chr1	+	36511875	36528237	NM_053186	Cnnm3
uc007aqk.1	chr1	+	36511875	36528237	BC052714	Cnnm3
uc007aql.2	chr1	-	36530192	36535739	NM_153502	Ankrd23
uc007aqo.2	chr1	-	36538170	36547252	NM_026241	Ankrd39
uc007aqr.4	chr1	-	36548638	36558381	NM_001126047	Sema4c
uc007aqu.2	chr1	-	36562695	36593332	NM_027957	Fam178b
uc011wjn.1	chr1	-	36562695	36683183	NM_001126046	Fam178b
uc007aqv.3	chr1	-	36599970	36683183	NM_201365	Fam178b
uc007aqw.1	chr1	+	36691486	36693388	NM_009942	Cox5b
uc007aqx.1	chr1	-	36699201	36709925	NM_146107	Actr1b
uc007aqy.2	chr1	+	36714537	36757960	NR_040290	4933424G06Rik
uc007aqz.2	chr1	+	36761797	36782820	NM_009539	Zap70
uc007arc.1	chr1	-	36792188	36808476	BC139734	Tmem131
uc007ard.1	chr1	-	36792188	36939527	NM_018872	Tmem131
uc007ari.2	chr1	+	37219204	37263384	NM_009918	Cnga3
uc007ark.2	chr1	+	37299837	37399557	AK149414	Inpp4a
uc007arl.3	chr1	+	37299837	37410740	NM_030266	Inpp4a
uc007arn.2	chr1	+	37369216	37404442	NM_172971	Inpp4a
uc007aro.2	chr1	-	37417084	37430103	NM_198006	Coa5
uc007arp.1	chr1	+	37430171	37439124	NM_026123	Unc50
uc007arq.1	chr1	+	37430185	37439124	AK004433	Unc50
uc007arv.3	chr1	-	37439339	37541016	NM_173870	Mgat4a
uc011wjs.1	chr1	-	37485850	37488605	NR_024017	4930594C11Rik
uc007arx.2	chr1	-	37611675	37719811	NM_028096	2010300C02Rik
uc007arw.1	chr1	-	37611676	37626068	BC029089	2010300C02Rik
uc007arz.2	chr1	-	37754571	37865082	NM_207228	Tsga10
uc007ash.2	chr1	+	37872205	37876298	NM_001037918	Lipt1
uc033fiu.1	chr1	+	37874864	37875986	CCDS14895	Lipt1
uc007asi.1	chr1	-	37878889	37890411	NM_026913	Mitd1
uc007asj.1	chr1	+	37890552	37898333	NM_027098	Mrpl30
uc007ask.1	chr1	-	37905922	37916493	NM_001033427	Lyg2
uc007asl.1	chr1	-	37946737	37957759	NM_027111	Lyg1
uc007asm.1	chr1	-	37983866	37997208	NM_172054	Txndc9
uc007asn.1	chr1	-	37983866	37997250	AK011424	Txndc9
uc007aso.1	chr1	+	37998009	38055579	NM_198303	Eif5b
uc007asp.1	chr1	-	38052785	38083827	AF179302	Rev1
uc007asr.1	chr1	-	38052785	38129662	NM_019570	Rev1
uc007asx.1	chr1	-	38794508	38821215	NM_001029878	Lonrf2
uc007asy.1	chr1	-	38863872	38898160	NM_145142	Chst10
uc011wjt.1	chr1	-	38863872	38898160	AK050676	Chst10
uc007atb.1	chr1	+	38939148	38950276	NM_001011684	Nms
uc007atc.1	chr1	+	38987813	38997236	NM_026850	Pdcl3
uc007atd.2	chr1	+	39194271	39363240	NM_008719	Npas2
uc007atf.2	chr1	+	39367850	39371910	NM_053257	Rpl31
uc007atg.3	chr1	-	39371495	39478747	NM_018775	Tbc1d8
uc007ath.2	chr1	-	39373315	39478747	AK141816	Tbc1d8
uc007ati.1	chr1	+	39535553	39546877	NM_028043	Cnot11
uc007atj.1	chr1	+	39538244	39546877	AK041342	Cnot11
uc011wju.1	chr1	-	39548746	39548840	NR_028555	Snord89
uc007atl.3	chr1	-	39551295	39577347	NM_001033135	Rnf149
uc007atm.1	chr1	-	39618405	39651182	NM_170597	Creg2
uc007atn.2	chr1	-	39665300	39720989	NM_001145660	Rfx8
uc007ato.2	chr1	-	39804140	39805332	NM_001177348	Gm3646
uc007atp.1	chr1	-	39842427	39847330	NR_040465	1700066B17Rik
uc007atr.1	chr1	+	39900912	40026310	NM_008696	Map4k4
uc007ats.1	chr1	+	39900912	40026310	AK129191	Map4k4
uc007att.2	chr1	-	40076211	40085851	NR_037980	Gm16894
uc007atu.2	chr1	+	40084767	40125226	NM_010555	Il1r2
uc007atv.1	chr1	+	40225079	40316177	NM_008362	Il1r1
uc007atw.1	chr1	+	40266585	40316177	NM_001123382	Il1r1
uc007atx.1	chr1	+	40324626	40365471	NM_133193	Il1rl2
uc007aty.1	chr1	+	40324689	40365471	AK085780	Il1rl2
uc007aua.3	chr1	+	40439628	40448411	NM_010743	Il1rl1
uc007aub.3	chr1	+	40439628	40465414	NM_001025602	Il1rl1
uc007aud.1	chr1	+	40465551	40491580	NM_001161842	Il18r1
uc007aue.1	chr1	+	40465620	40484343	AK170705	Il18r1
uc007auf.1	chr1	+	40465620	40491580	NM_001161843	Il18r1
uc033fiw.1	chr1	+	40466005	40500833	U43673	Il18r1
uc011wjz.1	chr1	+	40466005	40500854	NM_008365	Il18r1
uc007aui.1	chr1	+	40515361	40526917	AK053176	Il18rap
uc007auj.1	chr1	+	40515361	40539485	AK137541	Il18rap
uc007auk.2	chr1	+	40515361	40551705	NM_010553	Il18rap
uc007aul.1	chr1	+	40580226	40630731	NM_177084	Slc9a4
uc007aum.1	chr1	+	40681711	40727160	AK166114	Slc9a2
uc007aun.1	chr1	+	40681711	40768885	NM_001033289	Slc9a2
uc007auo.1	chr1	-	40772039	40790657	NM_172499	Mfsd9
uc007auq.1	chr1	+	40805600	40855267	NM_001081198	Tmem182
uc029qny.1	chr1	-	41167559	41181252	NR_040475	4930448I06Rik
uc007auu.1	chr1	-	42648199	42694825	NR_027826	Pantr1
uc007auw.1	chr1	+	42697145	42700209	NM_008900	Pou3f3
uc007aux.2	chr1	+	42700335	42703176	NR_027891	2900092D14Rik
uc007auz.2	chr1	+	42851232	42881931	AK031497	Mrps9
uc007ava.2	chr1	+	42851232	42905683	NM_023514	Mrps9
uc007avb.1	chr1	+	42862468	42899127	BC083159	Mrps9
uc007avd.2	chr1	+	42952871	43035449	NM_053107	Gpr45
uc033fiy.1	chr1	+	43032198	43033320	CCDS14919	Gpr45
uc007ave.1	chr1	-	43047268	43092486	AK141742	Tgfbrap1
uc007avf.1	chr1	-	43047268	43098622	NM_001013025	Tgfbrap1
uc007avj.1	chr1	+	43098709	43115946	NM_133818	AI597479
uc007avk.2	chr1	-	43123070	43163961	NM_010212	Fhl2
uc007avm.2	chr1	+	43189120	43189758	AB350826	Rpl29
uc007avo.2	chr1	+	43445750	43570518	NM_010879	Nck2
uc007avp.2	chr1	+	43730601	43742564	NM_024283	1500015O10Rik
uc007avq.1	chr1	-	43750230	43827708	NM_026430	Uxs1
uc007avs.2	chr1	+	43933993	44003000	NM_009418	Tpp2
uc007avv.1	chr1	-	44009407	44020006	NM_001013799	Mettl21c
uc007avy.2	chr1	-	44086616	44102343	BC119032	Tex30
uc007avx.2	chr1	-	44086616	44102343	BC116881	Tex30
uc007avz.2	chr1	-	44086616	44102388	NM_029368	Tex30
uc007awa.2	chr1	-	44086616	44102388	BC099557	Tex30
uc007awb.1	chr1	-	44106545	44118773	NM_023645	Kdelc1
uc011wkc.1	chr1	-	44106545	44118773	AK053315	Kdelc1
uc007awc.1	chr1	-	44112082	44118773	AK035391	Kdelc1
uc007awd.2	chr1	+	44119161	44144771	AF411386	Bivm
uc007awe.2	chr1	+	44119183	44144771	BC082584	Bivm
uc007awf.2	chr1	+	44119967	44144771	NM_144558	Bivm
uc007awi.2	chr1	+	44147743	44181260	NM_011729	Ercc5
uc007awk.1	chr1	-	44204069	44218931	NM_207281	Mettl21e
uc007awl.2	chr1	+	44551670	44788874	AK017798	Gulp1
uc007awm.2	chr1	+	44551670	44796836	NM_028450	Gulp1
uc029qoa.1	chr1	-	44739674	44744949	NR_040602	4930521E06Rik
uc007awq.2	chr1	+	45311537	45349706	NM_009930	Col3a1
uc007awr.1	chr1	-	45374330	45503282	NM_007737	Col5a2
uc007awt.1	chr1	+	45795500	45823613	NM_028599	Wdr75
uc011wkg.1	chr1	+	45814544	45823613	BC049925	Wdr75
uc007awu.1	chr1	-	45908069	45925594	NM_016917	Slc40a1
uc007awv.1	chr1	-	45915240	45925594	AK033987	Slc40a1
uc011wkk.1	chr1	-	46020414	46030437	NR_037691	Stk-ps2
uc011wkl.1	chr1	-	46020414	46030437	NR_037690	Stk-ps2
uc007awx.2	chr1	+	46066737	46373550	NM_001160386	Dnah7b
uc007axc.1	chr1	-	46807543	46853509	NM_172653	Slc39a10
uc007axd.1	chr1	-	46817601	46836151	AK136117	Slc39a10
uc007axj.1	chr1	+	50927522	51187270	NM_019790	Tmeff2
uc029qog.1	chr1	-	51218385	51333779	NR_045151	9330175M20Rik
uc007axk.1	chr1	+	51289125	51302960	NM_138741	Sdpr
uc007axn.1	chr1	-	51469487	51478399	NM_028696	Nabp1
uc007axs.3	chr1	-	51749757	51915978	NM_001161817	Myo1b
uc007axr.3	chr1	-	51749757	51915978	NM_010863	Myo1b
uc007axx.2	chr1	+	52008239	52107189	NM_011487	Stat4
uc007axz.1	chr1	+	52119437	52155273	AK157263	Stat1
uc007aya.2	chr1	+	52119437	52161865	NM_009283	Stat1
uc007ayb.2	chr1	+	52119437	52161865	NM_001205314	Stat1
uc007ayc.2	chr1	+	52119621	52161865	NM_001205313	Stat1
uc007ayd.2	chr1	+	52144077	52161865	U06924	Stat1
uc007aye.2	chr1	-	52163449	52233232	NM_001081081	Gls
uc007ayg.1	chr1	-	52185279	52207359	BC025534	Gls
uc011wko.1	chr1	-	52185280	52233232	NM_001113383	Gls
uc007ayh.2	chr1	-	52455848	52500448	NM_008667	Nab1
uc029qoj.1	chr1	+	52630704	52651919	NR_024590	Tmem194b
uc011wkp.1	chr1	+	52630704	52651919	NM_001142647	Tmem194b
uc007ayl.3	chr1	-	52656304	52727318	NM_133829	Mfsd6
uc007aym.1	chr1	-	52659985	52727318	NM_178081	Mfsd6
uc007ayn.1	chr1	-	52675622	52727318	AK171946	Mfsd6
uc007ayo.2	chr1	-	52789419	52817688	NM_008384	Inpp1
uc007ayp.2	chr1	+	52845037	52920986	NM_146108	Hibch
uc007ayr.1	chr1	-	52925126	52952840	NM_144953	1700019D03Rik
uc007ays.1	chr1	-	52925126	52963260	AK006523	1700019D03Rik
uc033fja.1	chr1	-	52925246	52925567	CCDS14949	1700019D03Rik
uc007ayt.2	chr1	+	53061639	53068079	NM_010834	Mstn
uc007ayu.1	chr1	-	53158576	53187617	NM_027070	1700019A02Rik
uc007ayv.3	chr1	-	53189188	53297028	NM_153556	Pms1
uc007ayx.2	chr1	-	53196822	53297028	AK140689	Pms1
uc007ayy.2	chr1	+	53297094	53301953	AK052927	Ormdl1
uc011wks.1	chr1	+	53297094	53310245	NM_145517	Ormdl1
uc007aze.2	chr1	-	53325506	53352752	AK034746	Asnsd1
uc007azg.2	chr1	-	53344616	53352752	NM_133728	Asnsd1
uc011wku.2	chr1	-	53347014	53352752	AK154984	Asnsd1
uc029qom.1	chr1	-	53397001	53706784	NM_001252070	Dnah7a
uc007azj.2	chr1	-	53755511	53785215	NM_133810	Stk17b
uc007azk.2	chr1	-	53806873	54195034	NM_001001883	Hecw2
uc007azl.2	chr1	-	53930814	54195034	NM_172655	Hecw2
uc007azm.1	chr1	-	53941495	54195034	AK047602	Hecw2
uc007azo.1	chr1	+	54250682	54368727	NM_030025	Ccdc150
uc007azp.2	chr1	-	54395876	54439026	NM_001033194	Gtf3c3
uc011wky.2	chr1	-	54472999	54557684	NM_001163314	Pgap1
uc007azr.3	chr1	-	54524283	54557684	AK041133	Pgap1
uc011wkz.1	chr1	-	54645339	54926387	NM_001081433	Ankrd44
uc007azu.2	chr1	-	54735301	54926387	AK157584	Ankrd44
uc007azv.2	chr1	-	54760886	54926387	AK038343	Ankrd44
uc007azx.2	chr1	-	54985169	55027478	NM_031179	Sf3b1
uc007azz.1	chr1	+	55052769	55072702	NM_001039710	Coq10b
uc007baa.1	chr1	+	55052769	55072702	NM_026424	Coq10b
uc007bab.2	chr1	-	55077833	55087932	NM_010477	Hspd1
uc007bac.2	chr1	+	55088147	55091317	NM_008303	Hspe1
uc007bad.1	chr1	+	55131244	55154899	NM_025283	Mob4
uc011wla.1	chr1	-	55170159	55204392	AK012229	Rftn2
uc007bag.1	chr1	-	55170159	55226782	NM_028713	Rftn2
uc007baj.1	chr1	+	55237176	55240058	NM_175439	Mars2
uc011wlb.1	chr1	-	55300068	55362707	NM_001113367	Boll
