Gene stable ID	Chromosome/scaffold name	Gene end (bp)	Gene start (bp)	Gene name	Strand
ENSG00000257215	CHR_HSCHR6_MHC_MANN_CTG1	31217512	31215489	CR847794.2	1
ENSG00000244003	16	58770820	58770524	RN7SL143P	1
ENSG00000274115	9	95065446	95065350	MIR6081	1
ENSG00000238961	5	77080571	77080434	SNORA47	-1
ENSG00000266415	5	9053895	9053816	MIR4636	-1
ENSG00000215966	9	28863706	28863626	MIR876	-1
ENSG00000206685	X	47087612	47087506	RNU6-1189P	1
ENSG00000207620	19	53761222	53761133	MIR516A2	1
ENSG00000276991	22	26673630	26673254	RF01877	1
ENSG00000272474	14	100938264	100938187	SNORD113-5	1
ENSG00000263967	9	90023535	90023441	MIR4290	-1
ENSG00000202051	X	147827384	147827279	RNU6-382P	1
ENSG00000200063	17	78400063	78399935	RF00415	1
ENSG00000284570	8	100703024	100702968	MIR7705	-1
ENSG00000278278	22	20114751	20114686	MIR6816	-1
ENSG00000265641	18	35934142	35934088	MIR3929	-1
ENSG00000199322	5	55777587	55777469	RNA5SP183	1
ENSG00000277049	9	41237557	41237440	RNA5SP530	-1
ENSG00000275853	7	55731403	55731100	RF00017	1
ENSG00000199043	7	130496204	130496111	MIR335	1
ENSG00000207863	21	16590325	16590237	MIR125B2	1
ENSG00000201153	1	62298256	62298149	RNU6-371P	-1
ENSG00000200779	2	71379858	71379755	RNU6-105P	-1
ENSG00000266436	2	79649359	79649294	MIR4264	-1
ENSG00000194717	14	101029714	101029634	MIR494	1
ENSG00000274228	16	35748655	35748520	RNA5SP414	1
ENSG00000207332	X	3607365	3607258	RNU6-146P	-1
ENSG00000264069	7	43150994	43150895	MIR3943	1
ENSG00000244404	3	25020463	25020166	RN7SL216P	-1
ENSG00000243383	4	105293946	105293664	RN7SL89P	1
ENSG00000199127	8	14853510	14853438	MIR383	-1
ENSG00000278049	CHR_HSCHR6_MHC_MANN_CTG1	30031140	30031073	RF02218	1
ENSG00000275141	2	159186901	159186835	MIR6888	1
ENSG00000207234	1	88816885	88816779	RNU6-125P	1
ENSG00000244314	3	195147003	195146728	RN7SL36P	-1
ENSG00000207632	6	126484713	126484631	MIR588	1
ENSG00000264864	13	49996501	49996415	MIR3613	-1
ENSG00000222148	13	49889728	49889634	RNY4P30	-1
ENSG00000206687	18	798135	797989	RNU1-109P	-1
ENSG00000207741	7	74191294	74191198	MIR590	1
ENSG00000206938	7	156872218	156872078	RNU4-31P	1
ENSG00000284446	6	31956940	31956839	MIR1236	-1
ENSG00000266187	1	150211925	150211632	RN7SL480P	1
ENSG00000284117	17	8145071	8144994	MIR6883	-1
ENSG00000278108	12	53057012	53056944	MIR6757	1
ENSG00000207594	19	53690965	53690881	MIR520A	1
ENSG00000273519	CHR_HSCHR19LRC_LRC_T_CTG3_1	54813268	54813162	RF00026	-1
ENSG00000223229	1	96696167	96695856	RN7SKP270	-1
ENSG00000264760	5	154596072	154596012	MIR3141	-1
ENSG00000284008	16	2106753	2106669	MIR6511B1	-1
ENSG00000207060	5	51055459	51055353	RNU6-480P	-1
ENSG00000222416	8	93441384	93441277	RNA5SP274	1
ENSG00000207973	7	5495917	5495819	MIR589	-1
ENSG00000273912	11	28477548	28477481	MIR8068	-1
ENSG00000200262	1	51107331	51107222	RF00019	1
ENSG00000264809	1	178484682	178484408	RF00017	1
ENSG00000265322	15	20832869	20832795	MIR3118-2	1
ENSG00000266243	5	31936159	31936102	MIR4279	-1
ENSG00000207394	6	23125087	23124981	RNU6-1060P	-1
ENSG00000264747	10	57304559	57304479	MIR3924	-1
ENSG00000252046	6	20993568	20993474	RNU6-150P	-1
ENSG00000266721	19	12920404	12920320	MIR5695	1
ENSG00000244308	3	120110786	120110498	RN7SL762P	-1
ENSG00000207554	20	63942726	63942631	MIR647	-1
ENSG00000207811	11	111513021	111512938	MIR34B	1
ENSG00000264483	1	227941683	227941590	MIR5008	-1
ENSG00000207097	21	13047689	13047583	RNU6-614P	1
ENSG00000207561	17	68424548	68424451	MIR635	-1
ENSG00000201288	3	127241074	127240968	RNU6-1047P	-1
ENSG00000200847	7	23491893	23491792	RF00019	-1
ENSG00000207759	1	198859153	198859044	MIR181A1	-1
ENSG00000283281	4	21464758	21464700	MIR7978	-1
ENSG00000278591	17	43300231	43300041	RF00004	-1
ENSG00000283320	20	3917563	3917502	MIR103B2	-1
ENSG00000276588	19	47581321	47581023	RN7SL322P	1
ENSG00000207703	15	88611934	88611825	MIR7-2	1
ENSG00000207730	1	1167198	1167104	MIR200B	1
ENSG00000243510	2	118016669	118016385	RN7SL111P	1
ENSG00000263681	21	41167629	41167557	MIR3197	1
ENSG00000207198	4	41114045	41113942	RNU6-1195P	1
ENSG00000206923	9	110903445	110903337	RNU6-432P	1
ENSG00000271923	9	87998335	87998229	RNU6-86P	-1
ENSG00000263964	15	28490845	28490752	MIR4509-3	-1
ENSG00000264279	2	239943094	239943015	MIR4786	-1
ENSG00000206671	6	27596517	27596412	RNU6-471P	1
ENSG00000264703	19	54282180	54282109	MIR4752	1
ENSG00000278267	1	17436	17369	MIR6859-1	-1
ENSG00000277187	CHR_HSCHR22_1_CTG7	23879790	23879493	RN7SL268P	-1
ENSG00000265284	X	6383963	6383906	MIR4770	-1
ENSG00000252199	21	9908010	9907916	RF00156	1
ENSG00000263800	19	12787192	12787128	MIR5684	1
ENSG00000202082	5	126553402	126553302	RNU6-290P	-1
ENSG00000274484	21	7474494	7474394	RF00019	1
ENSG00000276562	9	41579186	41578903	RN7SL565P	1
ENSG00000267959	19	18282161	18282077	MIR3188	1
ENSG00000264646	CHR_HSCHR6_MHC_MCF_CTG1	29747605	29747504	RF00019	1
ENSG00000276124	9	129869671	129869605	MIR6855	1
ENSG00000222909	10	34943075	34942969	RNU6-193P	1
ENSG00000274458	10	36438788	36438661	RF00561	1
ENSG00000273875	CHR_HSCHR19LRC_PGF2_CTG3_1	54081380	54069947	TARM1	-1
ENSG00000206929	12	101446932	101446825	RF00019	1
ENSG00000222412	10	31756136	31756042	RF00019	-1
ENSG00000277572	21	14076038	14075950	RF01518	-1
ENSG00000265926	CHR_HSCHR6_MHC_DBB_CTG1	29582288	29582205	SNORD32B	1
ENSG00000284473	16	81385093	81385018	MIR4720	1
ENSG00000206952	16	58559929	58559796	SNORA50A	-1
ENSG00000207562	11	111513515	111513439	MIR34C	1
ENSG00000265112	9	89312306	89312225	MIR3153	1
ENSG00000266235	16	543366	543277	MIR3176	1
ENSG00000253089	12	127321529	127321355	RNU1-104P	1
ENSG00000207086	2	9615373	9615267	RF00019	1
ENSG00000278529	11	11783222	11783135	MIR8070	-1
ENSG00000201931	4	177457228	177457111	RNA5SP172	-1
ENSG00000199156	15	63871019	63870930	MIR422A	-1
ENSG00000264406	15	85825730	85825635	MIR548AP	1
ENSG00000284321	8	9903472	9903388	MIR124-1	-1
ENSG00000207612	10	29545097	29545004	MIR604	-1
ENSG00000275788	13	30684278	30684029	RF00017	-1
ENSG00000277919	15	62304734	62304658	MIR8067	-1
ENSG00000278778	4	3063701	3063472	RF02134	1
ENSG00000283476	12	69273218	69273157	MIR1279	-1
ENSG00000275531	CHR_HSCHR1_1_CTG31	153700956	153700659	RF00017	1
ENSG00000251766	Y	10090528	10090410	RNA5SP518	-1
ENSG00000251897	18	6937020	6936912	RNU6-916P	-1
ENSG00000199080	6	52149041	52148923	MIR133B	1
ENSG00000252013	14	75202169	75202081	RNU4ATAC14P	-1
ENSG00000263795	10	42997681	42997563	MIR5100	1
ENSG00000283759	12	12915918	12915829	MIR614	1
ENSG00000216064	X	146001131	146001053	MIR891B	-1
ENSG00000264268	X	7147937	7147860	MIR4767	1
ENSG00000266580	1	31758735	31758660	MIR4254	-1
ENSG00000265456	X	121371053	121370972	MIR3672	1
ENSG00000202229	14	23156414	23156309	RNU6-1138P	-1
ENSG00000242855	7	39888664	39888375	RN7SL496P	1
ENSG00000198975	11	122146593	122146522	MIRLET7A2	-1
ENSG00000252329	11	12904988	12904817	RF00424	-1
ENSG00000201364	10	21933438	21933143	RN7SKP37	1
ENSG00000274263	9	111271214	111271156	MIR7702	-1
ENSG00000212410	2	157985894	157985789	RNU6-932P	-1
ENSG00000206906	14	18343144	18343038	RNU6-458P	1
ENSG00000283933	1	150492410	150492345	MIR6878	1
ENSG00000222399	1	222503735	222503632	RNU6-791P	-1
ENSG00000207619	5	169263694	169263601	MIR585	-1
ENSG00000202332	17	75432087	75431990	RF00019	1
ENSG00000252022	16	76469595	76469508	RF00133	-1
ENSG00000265657	8	103154689	103154614	MIR3151	1
ENSG00000240869	6	20421887	20421583	RN7SL128P	-1
ENSG00000207780	22	17980961	17980868	MIR648	-1
ENSG00000242121	2	182314544	182314284	RN7SL267P	1
ENSG00000221296	4	173268233	173268160	MIR548T	1
ENSG00000207931	4	114656854	114656759	MIR577	1
ENSG00000265706	2	28928060	28927983	SNORD53B	1
ENSG00000282035	CHR_HSCHR3_1_CTG1	11846845	11844908	AC090958.3	-1
ENSG00000283569	2	151368411	151368334	MIR4773-2	-1
ENSG00000264621	4	39411974	39411910	MIR5591	1
ENSG00000278658	3	129272243	129272146	MIR6826	1
ENSG00000206788	2	178039004	178038902	RNU6-629P	1
ENSG00000252821	7	33002054	33001950	RNU6-388P	-1
ENSG00000283206	20	63919520	63919449	MIR941-1	1
ENSG00000207722	19	53701287	53701227	MIR520B	1
ENSG00000283726	3	49806245	49806137	MIR5193	-1
ENSG00000242719	8	42881517	42881236	RN7SL806P	1
ENSG00000252449	3	62814491	62814382	RNU6-139P	1
ENSG00000264395	20	31607240	31607186	MIR3193	1
ENSG00000207061	7	156186223	156186122	RF00019	-1
ENSG00000252601	5	29070610	29070496	RF00425	1
ENSG00000252718	2	60719741	60719640	RNU6-612P	1
ENSG00000265057	2	32635331	32635255	MIR4765	1
ENSG00000266582	18	47380565	47380496	MIR4527	1
ENSG00000199470	7	12700889	12700758	RF00264	-1
ENSG00000283238	2	188978161	188978093	MIR1245B	-1
ENSG00000273898	19	49009972	49009906	MIR6798	1
ENSG00000200646	19	56316636	56316524	RF00019	-1
ENSG00000264961	17	80419493	80419418	MIR4730	1
ENSG00000284272	19	2250718	2250639	MIR4321	1
ENSG00000277578	15	84642763	84642487	RF00017	-1
ENSG00000238875	22	39874515	39874255	RN7SKP210	-1
ENSG00000251992	18	49814276	49814133	SCARNA17	1
ENSG00000207992	19	53752481	53752397	MIR519A1	1
ENSG00000253086	1	11152452	11152350	RNU6-537P	1
ENSG00000264399	17	58336022	58335976	MIR4736	-1
ENSG00000199814	9	14850535	14850429	RNU6-1260P	1
ENSG00000252473	2	39283791	39283657	RF00272	-1
ENSG00000207862	19	53702819	53702737	MIR518B	1
ENSG00000264495	CHR_HSCHR6_MHC_MANN_CTG1	29747543	29747442	RF00019	1
ENSG00000207965	15	70079468	70079372	MIR629	-1
ENSG00000211514	17	59137872	59137758	MIR454	-1
ENSG00000200191	8	71815625	71815494	RF00096	-1
ENSG00000284065	19	35122764	35122700	MIR6887	1
ENSG00000265777	17	2200039	2199762	RN7SL624P	1
ENSG00000266245	6	170330844	170330761	MIR4644	1
ENSG00000211137	15	62824041	62823957	MIR190A	1
ENSG00000252139	18	49814443	49814361	RF00283	1
ENSG00000283471	16	56904353	56904264	MIR6863	1
ENSG00000252239	CHR_HSCHR1_2_CTG3	13297811	13297705	RF00026	-1
ENSG00000200304	8	130069652	130069541	RNU6-1255P	-1
ENSG00000243426	17	78533055	78532813	RN7SL454P	-1
ENSG00000273700	12	111304209	111304142	MIR6760	1
ENSG00000212205	1	211803104	211803017	RF00019	1
ENSG00000222784	1	30844110	30843823	RN7SKP91	1
ENSG00000222224	2	28927340	28927243	RF00019	-1
ENSG00000276857	10	112299690	112299612	MIR6715A	1
ENSG00000200726	15	25184387	25184306	SNORD115-8	1
ENSG00000277872	22	25455711	25455646	MIR6817	1
ENSG00000201324	12	108926541	108926435	RNU6-361P	-1
ENSG00000284143	12	120723266	120723193	MIR4700	1
ENSG00000207242	17	10858004	10857899	RNU6-1065P	-1
ENSG00000252010	2	233276002	233275727	SCARNA5	1
ENSG00000266151	20	44408203	44408120	MIR3646	1
ENSG00000264402	11	74399333	74399237	MIR548AL	1
ENSG00000252164	9	34206241	34206134	RNA5SP282	-1
ENSG00000200437	17	15311451	15311345	RNU6-799P	1
ENSG00000265178	17	39726561	39726495	MIR4728	1
ENSG00000203411	15	75120562	75120265	RF00017	-1
ENSG00000283724	1	37480289	37480230	MIR6732	1
ENSG00000252894	3	130914452	130914340	RF00019	-1
ENSG00000275809	CHR_HSCHR15_1_CTG1	21307837	21307731	RF00026	1
ENSG00000263389	11	36010204	36010098	MIR3973	1
ENSG00000238728	16	15010397	15010321	MIR1972-1	-1
ENSG00000266063	2	111771134	111771061	MIR4771-2	-1
ENSG00000200107	17	55551920	55551810	RNU6-1249P	1
ENSG00000223198	2	231502201	231501990	RNU2-22P	-1
ENSG00000275616	17	43240111	43239921	RF00004	-1
ENSG00000274535	4	158909450	158909373	RF00157	-1
ENSG00000252956	1	9437778	9437669	RNA5SP40	-1
ENSG00000275726	19	45436704	45436654	MIR6088	1
ENSG00000266593	15	51242264	51242190	MIR4713	1
ENSG00000201180	20	15022958	15022852	RNU6-115P	1
ENSG00000265435	1	180438390	180438314	MIR3121	-1
ENSG00000199824	12	51163007	51162901	RNU6-199P	1
ENSG00000274713	19	11495622	11495544	MIR7974	-1
ENSG00000221792	15	43793759	43793659	MIR1282	-1
ENSG00000277460	22	27919545	27919384	RF02198	1
ENSG00000200624	1	228621565	228621447	RNA5S6	-1
ENSG00000252562	3	23613759	23613661	RNU6-922P	-1
ENSG00000199337	1	228614868	228614750	RNA5S3	-1
ENSG00000278598	16	87834660	87834592	MIR6775	-1
ENSG00000202430	2	24564738	24564630	RNA5SP88	-1
ENSG00000276730	9	36072762	36072686	RF02275	1
ENSG00000252768	3	52551943	52551846	RNU6-856P	-1
ENSG00000266758	16	29599265	29599179	MIR3680-2	-1
ENSG00000283788	10	104048186	104048089	MIR936	-1
ENSG00000276256	GL000195.1	49164	42939	AC011043.1	-1
ENSG00000199461	14	20679512	20679411	RF00019	1
ENSG00000276138	22	15273961	15273855	RF00026	1
ENSG00000202358	4	55885701	55885595	RNU6-652P	1
ENSG00000275391	16	18379410	18379351	MIR6770-3	-1
ENSG00000284277	10	30368665	30368597	MIR7162	-1
ENSG00000252942	9	99145966	99145840	RNA5SP290	-1
ENSG00000222796	X	150955587	150955494	RNU6-383P	-1
ENSG00000275746	CHR_HSCHR15_4_CTG8	31529455	31478417	KLF13	1
ENSG00000221033	15	64762515	64762387	MIR1272	-1
ENSG00000241983	19	39369448	39369153	RN7SL566P	1
ENSG00000241709	7	73732868	73732569	RN7SL265P	-1
ENSG00000200661	15	25074215	25074114	SNORD116-10	1
ENSG00000284519	1	225922142	225922080	MIR6741	-1
ENSG00000201143	15	25247426	25247345	SNORD115-42	1
ENSG00000252535	8	12333693	12333644	RNA5SP254	-1
ENSG00000284035	1	161227261	161227186	MIR5187	1
ENSG00000283170	14	101054381	101054306	MIR382	1
ENSG00000222849	1	77779999	77779904	RNA5SP21	1
ENSG00000238585	4	55501708	55501595	RF00019	-1
ENSG00000264482	13	102046004	102045934	MIR4705	-1
ENSG00000264998	CHR_HSCHR6_MHC_APD_CTG1	32556496	32556348	RF00003	-1
ENSG00000278391	Y	18337049	18336960	RF01518	1
ENSG00000242764	1	92402685	92402389	RN7SL824P	-1
ENSG00000266704	12	120155499	120155434	MIR4498	-1
ENSG00000207072	18	68859040	68858934	RNU6-39P	1
ENSG00000239093	3	187423419	187423315	RF01210	1
ENSG00000273913	2	42511851	42511570	RF00017	1
ENSG00000278349	11	71473568	71473503	MIR6754	1
ENSG00000273767	10	121949487	121949412	RF02219	-1
ENSG00000251809	17	54771277	54770949	RN7SKP14	1
ENSG00000201027	14	89622207	89621918	RN7SKP107	1
ENSG00000257770	CHR_HSCHR6_MHC_COX_CTG1	28534951	28526012	GPX5	1
ENSG00000252892	2	64994860	64994746	RNU6-548P	1
ENSG00000263439	1	235190116	235190034	MIR4753	-1
ENSG00000274721	5	142318167	142318047	RF02039	1
ENSG00000201662	13	48988017	48987915	RNU6-60P	1
ENSG00000274505	16	11753948	11753666	RF00017	-1
ENSG00000199321	10	126779774	126779702	RF00271	-1
ENSG00000207240	18	31382430	31382317	RF00019	1
ENSG00000275399	CHR_HSCHR19LRC_LRC_S_CTG3_1	55008845	54972989	NLRP2	1
ENSG00000199640	8	49330547	49330210	RN7SKP294	1
ENSG00000277953	CHR_HSCHR19LRC_LRC_T_CTG3_1	54131896	54115536	AC012314.28	1
ENSG00000272337	15	51907305	51907200	RNU6-90P	1
ENSG00000264423	19	41191229	41190927	RN7SL718P	-1
ENSG00000275266	11	1996610	1996540	RF01972	1
ENSG00000239175	8	30043908	30043801	RNU6-1218P	-1
ENSG00000207369	8	47667877	47667771	RNU6-665P	1
ENSG00000201136	15	43702470	43702363	RNU6-353P	1
ENSG00000284107	X	134169766	134169671	MIR19B2	-1
ENSG00000239151	15	89120840	89120779	RNU7-195P	1
ENSG00000274915	20	63102259	63102142	RF00635	1
ENSG00000272166	3	25555606	25555543	RF01161	-1
ENSG00000252079	12	132835500	132835374	RNU6-327P	-1
ENSG00000276211	CHR_HSCHR19LRC_COX1_CTG3_1	54967295	54942736	GP6	-1
ENSG00000206778	16	15877266	15877163	RNU6-213P	-1
ENSG00000273549	5	179629410	179629151	RF00017	1
ENSG00000264692	CHR_HSCHR6_MHC_COX_CTG1	31392739	31392641	RF00019	-1
ENSG00000212297	3	198071417	198071311	RNU6-821P	-1
ENSG00000252326	15	25097754	25097663	SNORD116-25	1
ENSG00000273966	Y	17569051	17568962	RF01518	-1
ENSG00000207349	1	143699619	143699456	RNVU1-17	-1
ENSG00000266180	6	72967753	72967687	MIR4282	-1
ENSG00000207327	10	73529157	73529051	RNU6-883P	-1
ENSG00000207282	20	18113579	18113467	RF00019	-1
ENSG00000265433	3	116850367	116850277	MIR4447	-1
ENSG00000222455	9	127841222	127841112	RNA5SP296	-1
ENSG00000199396	1	228619350	228619232	RNA5S5	-1
ENSG00000264139	22	49543466	49543393	MIR3667	-1
ENSG00000200830	12	14553970	14553702	RN7SKP134	-1
ENSG00000201959	7	77041748	77041647	RF00019	1
ENSG00000201326	15	25209999	25209918	SNORD115-22	1
ENSG00000200296	12	62850901	62850738	RNU1-83P	-1
ENSG00000266354	2	212926336	212926257	MIR4776-1	1
ENSG00000201633	4	83636290	83636196	RF00019	-1
ENSG00000199977	18	21817828	21817624	RF00045	1
ENSG00000202027	1	155120598	155120490	RF00019	1
ENSG00000207292	6	149631549	149631437	RF00019	1
ENSG00000264370	2	12737444	12737367	MIR3125	1
ENSG00000201882	X	20136135	20136066	RF00493	-1
ENSG00000252929	7	6057604	6057500	RNU6-218P	1
ENSG00000212559	13	94025598	94025470	RNA5SP35	-1
ENSG00000202382	2	85367686	85367585	RF00019	1
ENSG00000239152	10	45856422	45856307	RNA5SP310	1
ENSG00000200059	16	2131950	2131851	RF00019	1
ENSG00000208033	10	104218883	104218789	MIR609	-1
ENSG00000212605	X	71020438	71020275	RNU1-56P	-1
ENSG00000239710	1	92975114	92974827	RN7SL692P	-1
ENSG00000263358	CHR_HSCHR6_MHC_SSTO_CTG1	31527198	31527123	SNORD117	-1
ENSG00000281859	1	44778458	44778390	SNORD38B	1
ENSG00000252275	4	188716725	188716665	RNU7-192P	-1
ENSG00000201566	7	37435216	37435115	RF00019	1
ENSG00000273537	2	144520555	144520456	RF01986	1
ENSG00000221456	6	155946879	155946797	MIR1202	1
ENSG00000206826	X	82001327	82001220	RNU6-974P	-1
ENSG00000238908	20	40854229	40854119	RNA5SP484	-1
ENSG00000278036	CHR_HSCHR10_1_CTG1	27315226	27315120	RF00026	1
ENSG00000275049	CHR_HSCHR15_5_CTG8	82412947	82403250	AC011295.1	-1
ENSG00000251868	16	72821992	72821933	RNU7-71P	-1
ENSG00000212604	15	26009074	26008940	RF00554	-1
ENSG00000264563	5	129097766	129097688	MIR4633	1
ENSG00000202296	7	56340337	56340231	RNU6-1335P	-1
ENSG00000277025	CHR_HSCHR19LRC_LRC_J_CTG3_1	54190480	54173854	MBOAT7	-1
ENSG00000207445	11	75404566	75404421	SNORD15B	1
ENSG00000221023	2	181738715	181738606	RNU6ATAC19P	1
ENSG00000199938	6	38566055	38565950	RF00019	1
ENSG00000207134	1	155358818	155358712	RNU6-106P	-1
ENSG00000201403	11	17075868	17075779	SNORD14B	-1
ENSG00000274917	GL000220.1	112177	112025	RNA5-8SN3	1
ENSG00000275090	3	33103306	33103008	RN7SL296P	1
ENSG00000265848	9	134849682	134849609	MIR3689D1	-1
ENSG00000199032	3	49020234	49020148	MIR425	-1
ENSG00000206926	3	15433216	15433110	RNU6-1024P	-1
ENSG00000223282	1	226446292	226445937	RN7SKP165	1
ENSG00000207744	2	176150412	176150303	MIR10B	1
ENSG00000284547	9	127786007	127785918	MIR2861	1
ENSG00000201707	4	88201810	88201703	RNU6-818P	1
ENSG00000252597	20	18095632	18095571	RNU7-137P	-1
ENSG00000199710	1	110764506	110764408	RF00019	-1
ENSG00000206618	17	6207269	6207163	RNU6-1264P	1
ENSG00000201196	10	52852703	52852607	RF00019	1
ENSG00000215973	2	175167709	175167633	MIR933	-1
ENSG00000283278	7	71307768	71307674	MIR3914-2	1
ENSG00000251852	7	103433561	103433461	RF00019	-1
ENSG00000212269	3	23641592	23641489	RNU6-788P	-1
ENSG00000222438	12	130869837	130869736	RNU6-1077P	-1
ENSG00000266523	CHR_HSCHR6_MHC_MCF_CTG1	30814896	30814786	RF00019	-1
ENSG00000273829	16	50054430	50054143	RF00017	1
ENSG00000207981	19	53713434	53713347	MIR519D	1
ENSG00000200508	1	64066741	64066640	RF00019	-1
ENSG00000212195	17	58631836	58631641	RF00012	-1
ENSG00000207174	15	25081378	25081287	SNORD116-15	1
ENSG00000222835	2	91674966	91674857	RNA5SP100	1
ENSG00000277615	CHR_HSCHR19LRC_PGF2_CTG3_1	54156191	54138182	CNOT3	1
ENSG00000276083	3	127587176	127587111	MIR7976	-1
ENSG00000283514	18	35591806	35591737	MIR3975	1
ENSG00000200897	12	107374827	107374747	RF00284	1
ENSG00000207385	4	53265567	53265461	RNU6-310P	-1
ENSG00000199622	X	13596548	13596236	RN7SKP20	1
ENSG00000284250	17	77089497	77089417	MIR6516	1
ENSG00000201909	12	13459776	13459670	RNU6-590P	-1
ENSG00000275842	20	63919939	63919868	MIR941-5	1
ENSG00000252806	16	35754182	35754046	RNA5SP420	1
ENSG00000199885	X	74680159	74680053	RNU6-330P	1
ENSG00000221782	2	212426360	212426263	MIR548F2	-1
ENSG00000265102	15	35372364	35372256	MIR3942	-1
ENSG00000222529	11	118970595	118970498	RF00019	1
ENSG00000200616	3	179097840	179097731	RF00019	1
ENSG00000202188	15	25227190	25227109	SNORD115-31	1
ENSG00000283165	14	104117503	104117418	MIR203B	-1
ENSG00000278617	19	51207009	51206929	MIR8074	-1
ENSG00000252386	20	41685091	41684986	RNU6-1018P	-1
ENSG00000199598	21	43919901	43919795	RNU6-859P	-1
ENSG00000277139	CHR_HSCHR5_2_CTG1_1	69530475	69530371	RF00026	-1
ENSG00000223254	1	85264402	85264296	RF00019	1
ENSG00000207782	19	49500868	49500785	MIR150	-1
ENSG00000265442	10	122417067	122416965	MIR3941	1
ENSG00000252036	10	110756723	110756456	RN7SKP288	1
ENSG00000263871	CHR_HSCHR6_MHC_MANN_CTG1	32720965	32720817	RF00003	-1
ENSG00000207736	17	81125373	81125276	MIR657	-1
ENSG00000206755	16	30710665	30710537	SNORA30	1
ENSG00000200873	15	71858686	71858570	RNA5SP399	1
ENSG00000201086	15	49982561	49982443	RNA5SP394	1
ENSG00000252814	16	76287739	76287630	RN7SKP233	1
ENSG00000251763	17	43412530	43412427	RNU6-470P	1
ENSG00000277478	17	49510900	49510817	MIR6165	1
ENSG00000207974	1	168375621	168375524	MIR557	1
ENSG00000241156	3	116582830	116582552	RN7SL582P	-1
ENSG00000276881	CHR_HSCHR14_7_CTG1	93437510	93437400	RNU6-1258P	-1
ENSG00000223179	5	119007668	119007571	RNU6-373P	1
ENSG00000275109	16	81611408	81611348	MIR6504	1
ENSG00000276565	CHR_HSCHR11_1_CTG6	1591699	1586202	AP006285.3	1
ENSG00000223300	14	73858165	73858061	RF00019	-1
ENSG00000278287	1	63549216	63549133	RF02109	-1
ENSG00000201913	7	100330877	100330777	RF00019	-1
ENSG00000207962	1	40757372	40757284	MIR30C1	1
ENSG00000223088	9	24905735	24905469	RMRPP5	1
ENSG00000277841	15	21514040	21513959	MIR5701-2	1
ENSG00000222468	8	31598204	31598099	RNA5SP261	-1
ENSG00000265942	15	49042643	49042341	RN7SL577P	-1
ENSG00000253085	1	13696199	13696070	RF00564	-1
